"","region","Severe","n","n_psu_region","n_strata_region","deg_free","moes","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U"
"1",1,0.047860425317678,2651,429,9,420,0.00759032901784124,0.00274928487682416,0.00370619690868778,1.46833400211441,0.00461459238285473,2.12944628599009e-05,0.0964177052799874,0.0402924938097963,0.0554283568255598
"2",2,0.0367027253459289,2394,514,12,502,0.00687348720302883,0.00251811321921298,0.00333486692233637,1.37715220155538,0.0041787835041395,1.74622315744684e-05,0.11385485586571,0.0298495203991402,0.0435559302927177
"3",3,0.0305642458285491,2420,592,15,577,0.00594136190080377,0.00231679313746139,0.00277122265162257,1.1523085707551,0.00361209155845395,1.30472054266543e-05,0.118180294017921,0.0246404156726846,0.0364880759844135
"4",4,0.0338652306608731,2710,536,28,508,0.00627897615778281,0.00238060350578747,0.00298410135332486,1.36703383248788,0.00381734645253517,1.45721339386829e-05,0.112721702408058,0.0276047824787154,0.0401256788430307
"5",5,0.0366085698842055,6363,1208,67,1141,0.00436090488605182,0.00158023020816119,0.00212883916752252,1.45859791272959,0.00265124191879262,7.02908371196317e-06,0.072421346345367,0.0322605331373856,0.0409566066310254
"6",6,0.0348187788168621,4234,689,65,624,0.00508996072199207,0.00191076337297971,0.00243408452858476,1.41944023098647,0.00309447639509764,9.57578415981648e-06,0.088873777319239,0.029743837528902,0.0398937201048223
"7",7,0.03709610879694,4342,704,60,644,0.00519148115232205,0.00194378479740097,0.00248661951115398,1.40149951566108,0.00315619643429537,9.96157593185881e-06,0.0850816038839017,0.0319199466446956,0.0422722709491844
"8",8,0.0349745238664285,6054,1141,62,1079,0.00537013347086296,0.00164245793332971,0.00282157968358738,2.65704947834421,0.0032648093318892,1.06589799735908e-05,0.0933482138129417,0.0296202365621302,0.0403288111707267
"9",9,0.0410164281198759,4015,713,64,649,0.00527650858979073,0.00209493708973962,0.00242936067444433,1.13616095932211,0.00320788944580441,1.02905546965033e-05,0.0782098684075788,0.0357554894287567,0.0462773668109951
"10",10,0.032864136079321,3597,598,48,550,0.00524792790039205,0.00201828697588748,0.0024710108953771,1.35325096322266,0.00319051362042373,1.01793771621093e-05,0.097081925802738,0.0276316937418261,0.038096578416816
"11",11,0.0339832548722825,1695,334,11,323,0.00849371644843737,0.00297310841252625,0.00422203629534344,1.71738932327138,0.00516381294314886,2.66649641118317e-05,0.151951688046238,0.0255146016455184,0.0424519080990466
"12",12,0.0209222020795815,1861,463,6,457,0.0053447328246119,0.00225562984707297,0.00233891402672676,1.00328358964402,0.00324936683546589,1.05583848314256e-05,0.155307114571703,0.0155932404694174,0.0262511636897456
"13",13,0.0343825497058761,13199,2190,70,2120,0.00293125125273383,0.0010969675555044,0.00140443964844088,1.4419886915727,0.00178207422514946,3.17578854394206e-06,0.0518307757974359,0.031459947976631,0.0373051514351212
"14",14,0.0382352946937888,2800,484,24,460,0.0064429905645042,0.00242440311182773,0.00307662633840897,1.32192035761603,0.00391706013163339,1.53433600748318e-05,0.102446186514412,0.03181131607791,0.0446592733096676
"15",15,0.0453202796316547,2300,539,5,534,0.00710836788492986,0.00280196598479725,0.00329014397838731,1.04292538103682,0.00432158081938532,1.86760607784791e-05,0.0953564464850927,0.0382328870878628,0.0524076721754467
"16",16,0.0371040491832211,2276,356,42,314,0.0069363028856151,0.0027055495271658,0.00323463456060991,1.24654526700035,0.00421697272751902,1.77828589846392e-05,0.113652628765541,0.0301882139100899,0.0440198844563523
